Ship,Flag
SMS Kronprinz,Imperial German Navy
SS Leadgate,United Kingdom
SMS Markgraf,Imperial German Navy
Orion,United Kingdom
HMS Port Napier,Royal Navy
SS The Ramsey,Royal Navy
TSS Roebuck,Royal Navy
Rondo,Norway
HMS Royal Oak,Royal Navy
San Juan de Silicia,Spanish Navy
HMS Sealion,Royal Navy
SS Seniority,United Kingdom
SS St. Sunniva,United Kingdom
Swan,Royal Navy
SS Thesis,United Kingdom
SS Tuscania,United Kingdom
U-33,Kriegsmarine
U-297,Kriegsmarine
U-714,Kriegsmarine
U-722,Kriegsmarine
U-1206,Kriegsmarine
UB-116,Imperial German Navy
Unknown shipwreck,Unknown
Valkyrie II,United Kingdom
HMS Vandal,Royal Navy
HMS Vanguard,Royal Navy
Varyag,Imperial Russian Navy
HMS Vivid,Royal Navy
Amazonese,Unknown
SS Behar,United Kingdom
Calburga,Canada
SS Castilian,United Kingdom
HMS Conway,Royal Navy
SS Dakotian,United Kingdom
Diamond,United States
MV Empire Beacon,United Kingdom
Faraday,United Kingdom
Herefordshire,United Kingdom
PS Lelia,Confederate States Navy
Loch Shiel(aka Whiskey Wreck),United Kingdom
Lucy,Netherlands
HMY Mary,Royal Navy
Ocean Monarch,United States
Pacific,United States
SV Paul,Germany
Resurgam II,United Kingdom
PS Rothsay Castle,United Kingdom
Royal Charter,United Kingdom
SS Samtampa,United States
MV Swanland,Cook Islands
U-58,Imperial German Navy
U-1302,Kriegsmarine
SS Walter L M Russ,United Kingdom
HMS Whirlwind,Royal Navy
HMS Dundalk,Royal Navy
Terukuni Maru,Japan
HMT Agate,Royal Navy
Alf,Norway
Cantabria,Spain
English Trader,United Kingdom
HMT Force,Royal Navy
Gallois,United Kingdom
Georgia,Netherlands
Hibernia,United Kingdom
Hopelyn,United Kingdom
HMS Kent,Royal Navy
Meriones,United Kingdom
Monte Nevoso,Italy
Mount Ida,Greece
Sea Queen,United Kingdom
HMS Umpire,Royal Navy
Elbe,Germany
HMS Exmoor,Royal Navy
Gasfire,United Kingdom
Golconda,United Kingdom
Harwich ferry,United Kingdom
Magdapur,United Kingdom
Phryné,France
U-13,Kriegsmarine
Stanegarth,United Kingdom
Seaton Carew Wreck,Unknown
Abessinia,Germany
HMS Ascot,Royal Navy
Don,United Kingdom
Forfarshire,United Kingdom
HMS G11,Royal Navy
UB-115,Imperial German Navy
HMS Unity,Royal Navy
Yewglen,United Kingdom
Hebble,United Kingdom
Oslofjord,Norway
UC-32,Imperial German Navy
Abana,Norway
Riverdance,Bahamas
Alarm,United Kingdom
Ionic Star,United Kingdom
Pelican,Great Britain
RMS Alaunia,United Kingdom
HMS Ariadne,Royal Navy
HMS Holland 5,Royal Navy
RMS Moldavia,United Kingdom
Nyon,Switzerland
Sitakund,Norway
Storaa,United Kingdom
U-40,Kriegsmarine
U-413,Kriegsmarine
UC-65,Imperial German Navy
Wittering,United Kingdom
Grace Dieu,England
Impétueux,French Navy
Mary Rose,Royal Navy
HMS Newcastle,Royal Navy
HMS Royal George,Royal Navy
HMS Acheron,Royal Navy
HMCS Alberni,Royal Canadian Navy
Albert C. Field,Canada
HMS Assurance,Royal Navy
HMS Boxer,Royal Navy
Carbon,United Kingdom
HMS Amphion,Royal Navy
HMS Blackwater,Royal Navy
HMS Brazen,Royal Navy
HMS Bulwark,Royal Navy
HMS Codrington,Royal Navy
Deutschland,Germany
HMS Erin's Isle,Royal Navy
HMS Ghurka,Royal Navy
SMS Grosser Kurfürst,Imperial German Navy
Hindostan,British East India Company
Leicester,United Kingdom
Maloja,United Kingdom
Northern Belle,United States
Northfleet,Royal Navy
HMS Paragon,Royal Navy
The Queen,United Kingdom
RMS Royal Adelaide,United Kingdom
Unity,United Kingdom
U-12,Kriegsmarine
UB-33,Imperial German Navy
UB-55,Imperial German Navy
UB-56,Imperial German Navy
UB-58,Imperial German Navy
UC-50,Imperial German Navy
UC-64,Imperial German Navy
HMS Venetia,Royal Navy
Admiral Gardner,East India Company
Cap Lopez,Belgium
HMT Etoile Polaire,Royal Navy
Ganges,United Kingdom
Guttenburg,Germany
Mahratta (1892),United Kingdom
Mahratta (1917),United Kingdom
Mary White,United Kingdom
Montrose,United Kingdom
HMS Northumberland,Royal Navy
HMS Restoration,Royal Navy
Rooswijk,Dutch East India Company
HMS Stirling Castle,Royal Navy
U-16,Kriegsmarine
UC-46,Imperial German Navy
UC-63,Imperial German Navy
HMT Amethyst,Royal Navy
The Blackfriar I,Unknown
The Blackfriar II,Unknown
The Blackfriars III and IV,Unknown
Boddington,United Kingdom
HMS London,England
Marchioness,United Kingdom
HMS A3,Royal Navy
Nornen,Norway
51°16′19″N 3°01′23″W﻿ / ﻿51.272°N 3.023°W﻿ / 51.272; -3.023,SS Bengrove
51°21′04″N 4°06′58″W﻿ / ﻿51.351°N 4.116°W﻿ / 51.351; -4.116﻿ (SS Bengrove),USCGC Tampa
50°40′N 6°19′W﻿ / ﻿50.667°N 6.317°W﻿ / 50.667; -6.317﻿ (USCGC Tampa (1912)),HMS Montagu
51°24′22″N 2°54′47″W﻿ / ﻿51.406°N 2.913°W﻿ / 51.406; -2.913,51°24′22″N 2°54′47″W﻿ / ﻿51.406°N 2.913°W﻿ / 51.406; -2.913
HMS A7,Royal Navy
Adolf Vinnen,German Empire
HMS Anson,Royal Navy
Antoinette,Canada
Ardgarry,United Kingdom
Ben Asdale,United Kingdom
Caledonia,United Kingdom
SS Corvus,Norway
SS Eastfield,United Kingdom
HMS Foyle,Royal Navy
SS Flying Enterprise,United States
Hanover,Kingdom of Great Britain
SS James Eagan Layne,United States
RFA Lady Cory-Wright,Royal Navy
Maria Asumpta,United Kingdom
La Maudeleyne,
Merchant Royal,England
SS Mohegan,United Kingdom
MV RMS Mulheim,Antigua and Barbuda
HMS Primrose,Royal Navy
HMCS Regina,Royal Canadian Navy
Rosehill,United Kingdom
HMS Scylla,Royal Navy
St Anthony (aka Santo António),Portugal
Stanwood,United Kingdom
SS Torrey Canyon,Liberia
HMCS Trentonian,Royal Canadian Navy
U-650,Kriegsmarine
U-1018,Kriegsmarine
U-1021,Kriegsmarine
U-1063,Kriegsmarine
U-1199,Kriegsmarine
UB-65,Imperial German Navy
UC-66,Imperial German Navy
SS Vigrid,Norway
Volnay,Canada
HMS Whiting,Royal Navy
MV Union Star,Ireland
SV Carl,German Empire
S-89,Kriegsmarine
HMS Amethyst,Royal Navy
Cattewater Wreck,Unknown
HMT Elk,Royal Navy
HMS Empress of India,Royal Navy
HMS Formidable,Royal Navy
Glen Strathallen,United Kingdom
Hallowe'en,United Kingdom
Herzogin Cecilie,Finland
MV Ice Prince,Greece
London,Unknown
SS Louis Sheid,Belgium
USS LST-493,United States Navy
HMS M1,Royal Navy
HMS M2,Royal Navy
SS Maine,United Kingdom
Marguerite,France
RMS Medina,United Kingdom
HMS Penylan,Royal Navy
SS Persier,Belgium
HMHS Rewa,United Kingdom
U-214,Kriegsmarine
U-269,Kriegsmarine
UC-49,Imperial German Navy
UC-51,Imperial German Navy
HMS Victory,Royal Navy
HMS A1,Royal Navy
Aeolian Sky,Greece
HMS Empress of India,Royal Navy
Alexander,East India Company
SS Athen,German Empire
SS Binnendijk,Netherlands
HMS Bittern,Royal Navy
HMS Boadicea,Royal Navy
"Almost certainly HMS Fishguard II (HMS Invincible) at this location, HMS Bodicea about 10 nm further to the WSW!",HMS Delight
50°34′25″N 2°26′1″W﻿ / ﻿50.57361°N 2.43361°W﻿ / 50.57361; -2.43361﻿ (HMS Delight (H38)),Earl of Abergavenny
HMS Foylebank,Royal Navy
HMS Hood,Royal Navy
SS Kyarra,Australia
HMS L24,Royal Navy
USS LST-507,United States Navy
SS Radaas,Denmark
HMS Safari,Royal Navy
HMS Sidon,Royal Navy
Swash Channel Wreck,Unknown
U-322,Kriegsmarine
HMS Association,Royal Navy
MV Cita,Antigua and Barbuda
HMS Colossus,Royal Navy
SS Dundee,United Kingdom
HMS Eagle,Royal Navy
PS Earl of Arran,United Kingdom
HMS Firebrand,Royal Navy
Hollandia,East India Company
USS Jacob Jones,United States Navy
HMS K5,Royal Navy
SS Little Western,United Kingdom
Minnehaha,United Kingdom
Nancy,Kingdom of Great Britain
Rachel Harvey,United Kingdom
HMS Romney,Royal Navy
SS Schiller,German Empire
SS Thames,United Kingdom
Thomas W. Lawson,United States
UC-19,Imperial German Navy
Wheel Wreck,Unknown
SS Empire Bay,United Kingdom
HMS Falmouth,Royal Navy
SS Lanthorn,United Kingdom
SS Saint Ninian,United Kingdom
MS Piłsudski,Poland
SS Rohilla,United Kingdom
Alert,
Apollo,
Avenger,
Beaumaris Castle,
Blanch King,
Caesar,
Caraquet,
HMS Cerberus,Royal Navy
Collector,
Colonel William G. Ball,
Constellation,
Cristobal Colon,
Curlew,
Darlington,
Eagle,
Elda,
"""Frenchman wreck""",
Hermes,United States
L'Herminie,
Hunters Galley,
Iristo,Norway
Kate,United Kingdom
HMS Katherine,Royal Navy
King,United States
Lartington,
Lord Amherst,United Kingdom
Madiana,
"""Manilla wreck""",
Mari Celeste,United States
Mark Antonio,Spain
Minnie Breslauer,
Montana,United Kingdom
Mussel,Bermuda
North Carolina,
Pelinaion,Greece
Pollockshields,
Ramona,Canada
Richard P. Buck,
San Antonio,Kingdom of Portugal
San Pedro,Spain
Sea Venture,England
Taunton,Norway
Virginia Merchant,
HMS Vixen,Royal Navy
Warwick,England
Wychwood,United Kingdom
Zovetto,
USS Adirondack,United States Navy
HMS Algerine,Royal Navy
USS Chippewa,United States Navy
HMS Conqueror,Royal Navy
USS Courier,United States Navy
SS El Faro,United States
MS Logna,Bahamas
HMS Nimble,Royal Navy
USS San Jacinto,United States Navy
SS Sapona,United States
HMS Astraea,Royal Navy
HMS Nymph,Royal Navy
RMS Rhone,United Kingdom
Almirante Oquendo,Spanish Navy
Cristóbal Colón,Spanish Navy
USS Merrimac,United States Navy
Vizcaya,Spanish Navy
Astron,Soviet Union
Atlantic Princess,
Catuan,
Conde de Tolosa,Spain
Diomedes,French Navy
Dolphin,United States Coast Guard
Hickory,United States Coast Guard
Imperiale,French Navy
RP-14 Limon,
Monte Cristi Pipe Wreck,
Nuestra Señora de Guadalupe,Spain
"Nuestra Señora de la Limpia y Pura Concepción, known as La Concepción",Spain
Quedagh Merchant,
Scipion,French Navy
St. George,
MV Bianca C.,France
Bluenose,Canada
Crête-à-Pierrot,Haitian National Police
Mary Celeste,United States
MV Angeln,Antigua and Barbuda
MS Antilla,Nazi Germany
MV Christena,St. Kitts and Nevis
Cygne,French Navy
Hilma Hooker,Colombia
SS Pedernales,United Kingdom
SS Antilles,France
MV Mahiri,United Kingdom
2009 Turks and Caicos Islands migrant shipwreck,Haiti
General Pershing,United States
Molasses Reef Wreck,Unknown
Trouvadore,Spain
SS Springfjord,United Kingdom
USS Alabaster,United States Navy
USS Belet,United States Navy
Challenger,Peru
USS H-1,United States Navy
USS Jubilant,United States Navy
HMCS Kootenay,Royal Canadian Navy
HMS Monkey (1826),Royal Navy
USS Palomas,United States Navy
HMCS Restigouche,Royal Canadian Navy
USS Scuffle,United States Navy
USS Somers,United States Navy
SS Cheribon,Chile
Nuestra Señora de Encarnación,Spain
Sub Marine Explorer,United States
Anscomb,Canada
Beaver,Canada
Bonnington,Canada
USAT Brigadier General M. G. Zalinski,United States Army
HMCS Charlottetown,Royal Canadian Navy
HMCS Chaudière,Maritime Command
City of Ainsworth,Canada
Clallam,Canada
HMCS Columbia,Maritime Command
Cowichan,Canada
Eaglescliffe Hall,Canada
Ericsson,
Florence,United States
HMS Grappler,Royal Navy
HMCS Huron,Maritime Command
HMCS Mackenzie,Maritime Command
Malahat,Canada
Mariposa,Canada
Mount Royal,Canada
Nechacco,Canada
Princess Sophia,Canada
Queen of the North,Canada
Quesnel,Canada
HMCS Saskatchewan,Maritime Command
Sechelt,Canada
USS South Dakota,United States Navy
USS Tattnall,United States Navy
Tonquin,United States
Vanlene,
Valencia,Canada
Alpha,Canada
Port Nelson,Canada
Graham Bell,Canada
Ithaka,Greece
Princess,Canada
Transpet,Panama
Walton,Canada
Abyssinia,Canada
Administratrix,Canada
HMS Aeneas,Royal Navy
Anglo Saxon,United Kingdom
Anton van Driel,Netherlands
Arctic,United States
Arctic Explorer,Canada
Argo,United Kingdom
Azariah,
Belgian,United Kingdom
Caribou,Newfoundland
City of Philadelphia,United Kingdom
HMS Comus,Royal Navy
HMS Crusader,Royal Navy
Delmar,United Kingdom
HMS Despatch,Royal Navy
HMS Duchess of Cumberland,Great Britain Navy
Duchess of Fife,
Dunbrody,
Earlshall,Newfoundland
Erik,United Kingdom
Ethie,Canada
Flare,Cyprus
Florizel,Newfoundland
George Cromwell,United Kingdom
George Washington,United States
Germania,Germany
Greenland,Canada
Harcourt Kent,Canada
Harpooner,United Kingdom
Harvest Home,United Kingdom
Helgoland,Germany
Indian,United Kingdom
Kristianiafjord,Norway
Kyle,Canada
Labrador,United Kingdom
Lady of the Lake,United Kingdom
Lady Sherbrooke,United Kingdom
Lion,
Lord Strathcona,Canada
Maggie,
Marsland,United Kingdom
Marvale,Canada
Marvita,Canada
Ocean Ranger,United States
Phyllis,Great Britain
P.L.M. 27,United Kingdom
USS Pollux,United States Navy
President Coaker,Canada
Queen of Swansea,Canada
HMS Raleigh,Royal Navy
Regulus,Newfoundland
Rose Castle,Canada
Saganaga,United Kingdom
San Juan de Pasajes,Basques
Santa Celia,Spain
HMS Sapphire,Kingdom of England
Sea Clipper,Canada
HMCS Shawinigan,Royal Canadian Navy
Southern Cross,Canada
RMS Titanic,United Kingdom
Bahamas,18-Jun-23
Royal Navy,5 November 1813
Canada,15-Mar-31
HMS Investigator,Royal Navy
CGS Aberdeen,Canada
Arctic Bear,United States
Arrow,Canada
Astrea,United Kingdom
RMS Atlantic,United Kingdom
Capricieux,France
HMCS Cartier,Royal Canadian Navy
Célèbre,France
Chameau,France
Charlottetown,Canada
Christmas Seal,Canada
HMCS Clayoquot,Royal Canadian Navy
Constantia,United Kingdom
Enterprise,
Entreprenant,France
Erg,Canada
Esperanto,Canada
HMCS Esquimalt,Royal Canadian Navy
HMS Fantome,Royal Navy
HMS Feversham,Great Britain Navy
Hannah,United Kingdom
Havana,Canada
Hungarian,United Kingdom
Imo,Norway
USS Ingraham,United States Navy
HMCS Long Branch,Royal Canadian Navy
Lord Clarendon,Canada
Maria,United Kingdom
Mont-Blanc,France
Patrick Morris,Canada
Prudent,France
HMCS Saguenay,Maritime Command
Sankaty,Canada
Tikoma,Canada
HMS Tribune,Great Britain Navy
Two Friends,
U-754,Kriegsmarine
Unknown British transport,Great Britain Navy
Breadalbane,United Kingdom
HMS Erebus,Royal Navy
HMS Fury,Royal Navy
Maud,Canada
Nascopie,Canada
Bruce,Canada
Conestoga,United States
Eastcliffe Hall,Canada
Glen Isle,Canada
Ivy,Canada
Jean Richard,Canada
John B. King,Canada
Lillie Parsons,Canada
Maggie Bell,Canada
Mansfield,Canada
Mary Ward,Canada
Mayflower,Canada
Minnie,Canada
HMS Nancy,Royal Navy
Otter,Canada
Princess Louise,Canada
Quinte Queen,Canada
R.R. Foster,Canada
Resolute,Canada
Sand scow,Canada
Victoria,Canada
William King,Canada
HMS Alert,Great Britain Navy
George N Orr,United States
HMCS Assiniboine,Royal Canadian Navy
Marco Polo,Canada
Olga,Canada
HMCS Chedabucto,Royal Canadian Navy
Cimba,Canada
RMS Empress of Ireland,United Kingdom
HMS Leopard,Royal Navy
HMS Penelope,Royal Navy
CGS Simcoe,Canada
Royal Canadian Navy,7-Nov-45
City of Medicine Hat,Canada
A. J. Goddard,Canada
Klondike I,Canada
American Diver,Confederate States Navy
Eliza Battle,United States
CSS Gaines,Confederate States Navy
CSS Huntsville,Confederate States Navy
USS Philippi,United States Navy
CSS Phoenix,Confederate States Navy
USS Rodolph,United States Navy
USS Tecumseh,United States Navy
CSS Tuscaloosa,Confederate States Navy
FV Alaska Ranger,United States
Al-Ki,
SS Aleutian,United States
Charles H. Spencer,United States
SS Homer,United States
USS Linden,United States Navy
USS Queen City,United States Navy
USS Chewink,United States Navy
Elmer S. Dailey,United States
USS G-2,United States Navy
USS Guardfish,United States Navy
USS Mary Alice,United States Navy
Priscilla Dailey,United States
USS Cherokee,United States Navy
USS Gallup,United States Navy
Ice Boat No. 3,United States
USNS Mission San Francisco,United States
Monroe,United States
CSS Chattahoochee,Confederate States Navy
Carrier Dove,United States
CSS Georgia,Confederate States Navy
CSS Muscogee,Confederate States Navy
Rattlesnake,CSA
USS Noble,United States Navy
USS Phoenix,United States Navy
USS South America,United States Navy
SS Republic,United States
USS Water Witch,United States Navy
MV Golden Ray,Marshall Islands
Aratama Maru,Imperial Japanese Navy
SMS Cormoran,German Empire
Kitsugawa Maru,Japan
Tokai Maru,Imperial Japanese Navy
USS Arizona,United States Navy
USS Barbero,United States Navy
Bering,Russian Empire
USS Carbonero,United States Navy
Carthaginian II,United States
Cleopatra's Barge,Hawaii
USS Darter,United States Navy
Ehime Maru (えひめ丸),Japan
I-18tou,Imperial Japanese Navy
I-401,Imperial Japanese Navy
Kad’yak,Russian Empire
USS LST-480,United States Navy
USNS Mission San Miguel,United States
USS S-28,United States Navy
USS Saginaw,United States Navy
USS Stickleback,United States Navy
USS Tinosa,United States Navy
USS Utah,United States Navy
YO-257,United States Navy
Lucy Walker,United States
Arabia,United States
Commercial Dixie,United States
CSS Ram Arkansas,Confederate States Navy
USS Carolina,United States Navy
El Cazador,Spain
USS Covington,United States Navy
Kentucky,
El Nuevo Constante,Spain
CSS Governor Moore,Confederate States Navy
USS Lancaster,United States Navy
CSS Louisiana,Confederate States Navy
CSS Manassas,Confederate States Navy
CSS McRae,Confederate States Navy
MTC-602,
SS New York,
SS Robert E. Lee,United States
SS Joe Webre,United States
USS Signal,United States Navy
U-166,Kriegsmarine
USS Varuna,United States Navy
USCGC White Alder,United States Coast Guard
Alice E. Clark,
Amaretto,
Annie C. Maguire,United Kingdom
USS Eagle Boat 56,United States Navy
SS Georgia,Canada
Nottingham,United Kingdom
Mary Barrett,
USS S-21,United States Navy
USS PE-56,United States Navy
USS Blenny,United States Navy
"USS Cherokee, (a.k.a. ""The Gunboat"")",United States Navy
Governor R. M. McLane,United States
The Mallows Bay wrecks,
U-1105,Kriegsmarine
SS Alpena,United States
USS Althea,United States
SS Cyprus,United States
Three Brothers,United States
Quincy Dredge Number Two,United States
Amboy,United States
Andy Gibson,United States
SS Benjamin Noble,United States
Essayons,United States
USS Essex,United States Navy
SS George Spencer,United States
SS Hesper,United States
SS Lafayette,United States
Madeira,United States
May Flower,United States
Niagara,United States
SS Onoko,United States
SS Robert Wallace,United States
Samuel P. Ely,United States
Wayzata Bay Wreck,
SS Thomas Wilson,United States
USS Baron DeKalb,United States Navy
USS Cairo,United States Navy
Josephine,
USS Lily,United States Navy
USS Petrel,United States Navy
Star of the West,CSA
Far West,United States
USS Inaugural,United States Navy
USS Mingo,United States Navy
Nadine,
USS Naiad,United States Navy
Butte,
Chippewa,
James D. Rankin,
Oakes,
Red Cloud,
Tacony,
Yellowstone,
Bertrand,United States
Pirate,United States
SS Tahoe,United States
USS O-9,United States Navy
Adonis,
USS Algol,United States Navy
SS Arundo,Netherlands
SS Atlantus,United States
Ayuruoca,
Beth Dee Bob,
Brunette,
SS Carolina,United States
Chappara,
SS Choapa,
Delaware,
Goulandris,
SS Gulftrade,
Lana Carol,
Malta,
Maurice Tracy,
USRC Mohawk,United States Navy
USS Moonstone,United States Navy
SS Morro Castle,United States
Park City,
Persephone,
SS Pinta,
Pliny,
Rjukan,
USCS Robert J. Walker,United States Coast Guard
R.P. Resor,United States
Rusland,
San Saba,
Sindia,
USS St. Augustine,United States Navy
Stolt Dagali,
USS Tarantula,United States Navy
Tolten,
U-869,Kriegsmarine
Vega,
PS Washington Irving,United States
Western World,United Kingdom
HMS Zebra,Great Britain Navy
A.E. Vickery,United States
USS Baldwin,United States Navy
Bessie White,
Cadet,
USS California,United States Navy
Champlain II,United States
Charles R. Morse,
HMS Culloden,Great Britain Navy
Forward,
PS General Slocum,United States
Glückauf,German Empire
MV Gwendoline Steers,United States
Harold,United States
Holland III,United States
HMS Hussar,Great Britain Navy
USRC Jefferson,United States
John Milton,United States
SS Keystorm,
Land Tortoise,Great Britain Navy
Lexington,United States
HMS Liverpool,Great Britain Navy
Morania,
SS Narragansett,
SS Nisbet Grammer,United Kingdom
USS Ohio,United States Navy
SS Oregon,United Kingdom
Roy A. Jodrey,Canada
USS Salmon,United States Navy
SS Savannah,United States
Sea Bear,
USS Spikefish,United States Navy
USS Turner,United States Navy
USS Verdi,United States Navy
Vierge Marie,
Wiawaka bateaux,Great Britain Navy
Washington,United States Navy
Island City,United States
Rose Bud,United States
USS Abeona,United States Navy
PS Anthony Wayne,United States
USS Carondelet,United States Navy
Moselle,United States
Elizabeth M,United States
USS Rush,United States Navy
Charles Foster,
Crete,
Dean Richmond,
Eldorado,
Indiana,
Mississippi III,United States
Oneida,
Oxford,
Philip D. Armour,
S.K. Martin,
Antonio López,Spain
Black Point,
USS Cero,United States Navy
USS G-1,United States Navy
HMS Gaspée,Great Britain Navy
HMS Lark,Great Britain Navy
USS Leyden,United States Navy
HMS Liberty,Great Britain Navy
USS Sealion,United States Navy
USS Snowden,United States Navy
U-853,Kriegsmarine
HMS Actaeon,Great Britain Navy
USS Amazon,United States Navy
Anchor Wreck,
USS American,United States Navy
CSS Charleston,Confederate States Navy
Civil War Wreck,
City of Richmond,
USS Dixon,United States Navy
CSS Georgiana,Confederate States Navy
SS Governor,
HEBE & St Cathan,
USS Housatonic,United States Navy
CSS H. L. Hunley,Confederate States Navy
USS Keokuk,United States Navy
USS Kingfisher,United States Navy
Mary Bowers,CSA
USS Meteor,United States Navy
USS New England,United States Navy
Norseman,CSA
SS Ozama,United States
USS Patapsco,United States Navy
USS Peri,United States Navy
Pipe Wreck,
USS Potomac,United States Navy
Raccoon,CSA
USS Rebecca Sims,United States Navy
USS Robin Hood,United States Navy
Ruby,CSA
USS Stephen Young,United States Navy
Stonewall Jackson,CSA
USS Tenedos,United States Navy
USS Timor,United States Navy
SS United States,United States
USS Vermilion,United States Navy
USS Weehawken,United States Navy
SS William Lawrence,United States
Urilda,United States
Western,United States
Chattanooga,
CSS Colonel Lovell,Confederate States Navy
Eclipse,
M.E. Norman,United States Army
Pennsylvania,United States
Sultana,United States
Anona,
La Belle,Kingdom of France
City of Waco,United States
USS Elizabeth,United States Navy
SS Grandcamp,France
Gulfpenn,
Hannah Elizabeth,United States
USS Hatteras,United States Navy
Heredia,United States
Mary,
SS Nicaragua,
Oaxaca,Mexico
OMI Charger,United States
San Esteban,Spain
SS Selma,United States
Sheherezade,
A.R. Noyes,
General Butler,United States
O.J. Walker,United States
Unknown horse ferry,
Water Witch,United States
Amaganzette,
USAS American Mariner,United States
Anglo African,United Kingdom
USS Beale,United States Navy
USS Charles F. Hughes,United States Navy
USS Coos Bay,United States Navy
USS Cumberland,United States Navy
USCGC Cuyahoga,United States
USS Despatch,United States Navy
Doxie Girl,
CSS Drewry,Confederate States Navy
Ethel C.,
Eureka,United States
CSS Florida,Confederate States Navy
Francis E. Powell,
CSS Fredericksburg,Confederate States Navy
USS Guavina,United States Navy
Gulf Hustler,
USS Gyatt,United States Navy
Hanks,
USS Henry Andrew,United States Navy
